date,demand,RRP,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
2015-01-05,118132.2,1455.665882,118132.2,1455.665882,0.0,0.0,0.0,15.0,22.0,30.7,0.0,N,N
2015-01-06,130672.485,1703.947465,130672.485,1703.947465,0.0,0.0,0.0,17.7,26.0,31.6,0.0,N,N
2015-01-09,121801.155,1878.707092,121801.155,1878.707092,0.0,0.0,0.0,16.5,18.0,3.1,1.2,N,N
2015-01-11,99865.755,993.2478162,99865.755,993.2478162,0.0,0.0,0.0,15.6,27.5,29.9,0.0,N,N
2015-01-12,131261.125,1835.35631,131261.125,1835.35631,0.0,0.0,0.0,16.1,31.3,31.6,0.0,N,N
2015-01-13,126527.36,1499.987467,126527.36,1499.987467,0.0,0.0,0.0,20.2,25.6,4.2,0.0,N,N
2015-01-15,118411.22,1685.113268,118411.22,1685.113268,0.0,0.0,0.0,15.8,20.0,14.6,0.0,N,N
2015-01-16,116690.765,1253.637447,116690.765,1253.637447,0.0,0.0,0.0,13.1,27.3,30.3,0.0,N,N
2015-01-17,99371.31,1034.65369,99371.31,1034.65369,0.0,0.0,0.0,15.9,25.0,27.5,0.0,N,N
2015-01-19,116883.15,1466.761416,116883.15,1466.761416,0.0,0.0,0.0,13.5,23.6,29.0,0.0,N,N
2015-01-20,128968.125,1257.062698,128968.125,1257.062698,0.0,0.0,0.0,13.0,30.4,19.6,0.0,N,N
2015-01-21,148702.505,1876.13284,148702.505,1876.13284,0.0,0.0,0.0,19.7,33.1,25.8,0.0,N,N
2015-01-22,153232.1,1919.019574,153232.1,1919.019574,0.0,0.0,0.0,18.7,35.8,23.1,0.0,N,N
2015-01-23,138095.2,2211.710786,138095.2,2211.710786,0.0,0.0,0.0,20.2,25.0,28.6,0.0,N,N
2015-01-24,116310.59,1139.621348,116310.59,1139.621348,0.0,0.0,0.0,15.8,26.3,30.3,0.0,N,N
2015-01-25,97959.46,901.0110223,97959.46,901.0110223,0.0,0.0,0.0,14.7,22.0,25.4,0.0,N,N
2015-01-26,103769.48,922.5046174,103769.48,922.5046174,0.0,0.0,0.0,11.6,19.8,19.9,1.0,N,Y
2015-01-27,118393.31,1155.10654,118393.31,1155.10654,0.0,0.0,0.0,11.7,19.1,17.7,0.6,N,N
2015-01-28,116763.725,927.2884688,116763.725,927.2884688,0.0,0.0,0.0,13.3,25.4,27.0,0.0,N,N
2015-01-29,119313.73,1068.964346,119313.73,1068.964346,0.0,0.0,0.0,12.8,22.2,28.9,0.0,Y,N
2015-01-30,121018.15,1145.469026,121018.15,1145.469026,0.0,0.0,0.0,13.1,21.0,27.6,0.0,Y,N
2015-01-31,103822.97,900.8709813,103822.97,900.8709813,0.0,0.0,0.0,14.3,20.2,26.2,0.0,Y,N
2015-02-03,122880.13,1470.898747,122880.13,1470.898747,0.0,0.0,0.0,16.1,20.0,22.7,0.0,Y,N
2015-02-04,117398.03,1514.76354,117398.03,1514.76354,0.0,0.0,0.0,14.8,19.0,21.2,0.0,Y,N
2015-02-05,122279.425,1709.517568,122279.425,1709.517568,0.0,0.0,0.0,13.3,24.2,28.8,0.0,Y,N
2015-02-06,141837.005,2115.624619,141837.005,2115.624619,0.0,0.0,0.0,14.5,35.7,28.4,0.0,Y,N
2015-02-07,132138.365,1566.650168,132138.365,1566.650168,0.0,0.0,0.0,18.8,35.0,16.1,0.0,Y,N
2015-02-08,112108.215,1305.869587,112108.215,1305.869587,0.0,0.0,0.0,18.9,21.5,16.6,0.0,Y,N
2015-02-09,126813.075,1574.680567,126813.075,1574.680567,0.0,0.0,0.0,13.6,28.3,28.6,0.0,Y,N
2015-02-10,145948.565,2043.856021,145948.565,2043.856021,0.0,0.0,0.0,16.4,27.8,27.7,0.0,Y,N
2015-02-11,149322.85,1778.742596,149322.85,1778.742596,0.0,0.0,0.0,18.1,26.8,24.1,0.0,Y,N
2015-02-12,131376.78,1447.629305,131376.78,1447.629305,0.0,0.0,0.0,17.8,21.9,23.8,0.0,Y,N
