dae,demand,rrp,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,year,month,day,weekday,month_sin,month_cos,fr_RRP
,99635.03,1382.937923,97319.24,1382.937923,2315.79,0.0,0.020833334,13.3,26.9,23.6,0.0,0,1,,,,,,,13.82937923
,104330.715,1349.049975,104330.715,1349.049975,0.0,0.0,0.0,16.3,21.4,25.2,4.2,0,0,,,,,,,13.49049975
,118132.2,1441.76931,118132.2,1441.76931,0.0,0.0,0.0,15.0,22.0,30.7,0.0,0,0,,,,,,,14.4176931
,130672.485,1687.680664,130672.485,1687.680664,0.0,0.0,0.0,17.7,26.0,31.6,0.0,0,0,,,,,,,16.87680664
,142015.655,2649.877272,142015.655,2649.877272,0.0,0.0,0.0,23.1,28.2,13.5,19.4,0,0,,,,,,,26.49877272
,121801.155,1860.771941,121801.155,1860.771941,0.0,0.0,0.0,16.5,18.0,3.1,1.2,0,0,,,,,,,18.60771941
,103043.66,1091.399053,103043.66,1091.399053,0.0,0.0,0.0,13.6,21.7,5.6,5.2,0,0,,,,,,,10.91399053
,99865.755,983.7657369,99865.755,983.7657369,0.0,0.0,0.0,15.6,27.5,29.9,0.0,0,0,,,,,,,9.837657369
,131261.125,1817.835009,131261.125,1817.835009,0.0,0.0,0.0,16.1,31.3,31.6,0.0,0,0,,,,,,,18.17835009
,126527.36,1485.667777,126527.36,1485.667777,0.0,0.0,0.0,20.2,25.6,4.2,0.0,0,0,,,,,,,14.85667777
,119741.62,1565.548971,119741.62,1565.548971,0.0,0.0,0.0,18.3,22.7,15.2,15.8,0,0,,,,,,,15.65548971
,118411.22,1669.026268,118411.22,1669.026268,0.0,0.0,0.0,15.8,20.0,14.6,0.0,0,0,,,,,,,16.69026268
,116690.765,1241.669548,116690.765,1241.669548,0.0,0.0,0.0,13.1,27.3,30.3,0.0,0,0,,,,,,,12.41669548
,99371.31,1024.776327,99371.31,1024.776327,0.0,0.0,0.0,15.9,25.0,27.5,0.0,0,0,,,,,,,10.24776327
,97728.75,917.6183336,95473.965,917.6183336,2254.785,0.0,0.020833334,15.3,19.5,23.4,0.0,0,0,,,,,,,9.176183336
,116883.15,1452.758921,116883.15,1452.758921,0.0,0.0,0.0,13.5,23.6,29.0,0.0,0,0,,,,,,,14.52758921
,128968.125,1245.0621,128968.125,1245.0621,0.0,0.0,0.0,13.0,30.4,19.6,0.0,0,0,,,,,,,12.450621
,148702.505,1858.222264,148702.505,1858.222264,0.0,0.0,0.0,19.7,33.1,25.8,0.0,0,0,,,,,,,18.58222264
,153232.1,1900.699578,153232.1,1900.699578,0.0,0.0,0.0,18.7,35.8,23.1,0.0,0,0,,,,,,,19.00699578
,138095.2,2190.596602,138095.2,2190.596602,0.0,0.0,0.0,20.2,25.0,28.6,0.0,0,0,,,,,,,21.90596602
,116310.59,1128.741908,116310.59,1128.741908,0.0,0.0,0.0,15.8,26.3,30.3,0.0,0,0,,,,,,,11.28741908
,97959.46,892.4094851,97959.46,892.4094851,0.0,0.0,0.0,14.7,22.0,25.4,0.0,0,0,,,,,,,8.924094851
,103769.48,913.6978907,103769.48,913.6978907,0.0,0.0,0.0,11.6,19.8,19.9,1.0,0,1,,,,,,,9.136978907
,118393.31,1144.07927,118393.31,1144.07927,0.0,0.0,0.0,11.7,19.1,17.7,0.6,0,0,,,,,,,11.4407927
,116763.725,918.4360729,116763.725,918.4360729,0.0,0.0,0.0,13.3,25.4,27.0,0.0,0,0,,,,,,,9.184360729
,119313.73,1058.759436,119313.73,1058.759436,0.0,0.0,0.0,12.8,22.2,28.9,0.0,1,0,,,,,,,10.58759436
,121018.15,1134.533761,121018.15,1134.533761,0.0,0.0,0.0,13.1,21.0,27.6,0.0,1,0,,,,,,,11.34533761
,103822.97,892.270781,103822.97,892.270781,0.0,0.0,0.0,14.3,20.2,26.2,0.0,1,0,,,,,,,8.92270781
,100178.84,786.5286567,100178.84,786.5286567,0.0,0.0,0.0,13.2,19.0,17.3,9.2,1,0,,,,,,,7.865286567
,118694.16,1201.468237,118694.16,1201.468237,0.0,0.0,0.0,13.5,21.1,23.9,3.8,1,0,,,,,,,12.01468237
,122880.13,1456.856754,122880.13,1456.856754,0.0,0.0,0.0,16.1,20.0,22.7,0.0,1,0,,,,,,,14.56856754
,117398.03,1500.30279,117398.03,1500.30279,0.0,0.0,0.0,14.8,19.0,21.2,0.0,1,0,,,,,,,15.0030279
,122279.425,1693.197591,122279.425,1693.197591,0.0,0.0,0.0,13.3,24.2,28.8,0.0,1,0,,,,,,,16.93197591
,141837.005,2095.427726,141837.005,2095.427726,0.0,0.0,0.0,14.5,35.7,28.4,0.0,1,0,,,,,,,20.95427726
,132138.365,1551.694081,132138.365,1551.694081,0.0,0.0,0.0,18.8,35.0,16.1,0.0,1,0,,,,,,,15.51694081
,112108.215,1293.403051,112108.215,1293.403051,0.0,0.0,0.0,18.9,21.5,16.6,0.0,1,0,,,,,,,12.93403051
,126813.075,1559.647817,126813.075,1559.647817,0.0,0.0,0.0,13.6,28.3,28.6,0.0,1,0,,,,,,,15.59647817
,145948.565,2024.344269,145948.565,2024.344269,0.0,0.0,0.0,16.4,27.8,27.7,0.0,1,0,,,,,,,20.24344269
,149322.85,1761.761759,149322.85,1761.761759,0.0,0.0,0.0,18.1,26.8,24.1,0.0,1,0,,,,,,,17.61761759
,131376.78,1433.809455,131376.78,1433.809455,0.0,0.0,0.0,17.8,21.9,23.8,0.0,1,0,,,,,,,14.33809455
,136070.62,1010.859564,133078.54,1010.859564,2992.08,0.0,0.020833334,16.1,32.4,14.9,0.0,1,0,,,,,,,10.10859564
,119692.025,1091.953569,119692.025,1091.953569,0.0,0.0,0.0,19.0,25.1,20.8,19.6,1,0,,,,,,,10.91953569
,125287.71,1326.316885,125287.71,1326.316885,0.0,0.0,0.0,18.2,34.4,25.7,0.4,1,0,,,,,,,13.26316885
,131832.63,1723.65074,131832.63,1723.65074,0.0,0.0,0.0,17.4,24.6,26.3,0.0,1,0,,,,,,,17.2365074
,127666.01,1631.995559,127666.01,1631.995559,0.0,0.0,0.0,17.6,20.6,8.3,0.0,1,0,,,,,,,16.31995559
,125972.765,1631.221019,125972.765,1631.221019,0.0,0.0,0.0,17.7,21.2,7.8,0.0,1,0,,,,,,,16.31221019
,139399.69,1812.663929,139399.69,1812.663929,0.0,0.0,0.0,18.2,26.9,24.7,0.0,1,0,,,,,,,18.12663929
,139465.675,1809.411329,139465.675,1809.411329,0.0,0.0,0.0,17.4,25.3,24.7,0.0,1,0,,,,,,,18.09411329
