date,demand,RRP,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
01-01-2015,99635.03,1382.937923,97319.24,26.41595262,2315.79,-7.24,0.020833334,13.3,26.9,23.6,0,N,Y
02-01-2015,129606.01,1787.848379,121082.015,38.83766098,8523.995,-47.8097765,0.0625,15.4,38.8,26.8,0,N,N
03-01-2015,142300.54,1864.773918,142300.54,34.56485483,0,0,0,20,38.2,26.5,0,N,N
04-01-2015,104330.715,1349.049975,104330.715,25.00556024,0,0,0,16.3,21.4,25.2,4.2,N,N
05-01-2015,118132.2,1441.76931,118132.2,26.72417628,0,0,0,15,22,30.7,0,N,N
06-01-2015,130672.485,1687.680664,130672.485,31.28231073,0,0,0,17.7,26,31.6,0,N,N
07-01-2015,153514.82,2606.449091,149498.715,49.63971225,4016.105,-1.1,0.020833334,18.9,37.4,20.7,0,N,N
08-01-2015,142015.655,2649.877272,142015.655,49.1172803,0,0,0,23.1,28.2,13.5,19.4,N,N
09-01-2015,121801.155,1860.771941,121801.155,34.49067545,0,0,0,16.5,18,3.1,1.2,N,N
10-01-2015,103043.66,1091.399053,103043.66,20.2298249,0,0,0,13.6,21.7,5.6,5.2,N,N
11-01-2015,99865.755,983.7657369,99865.755,18.23476806,0,0,0,15.6,27.5,29.9,0,N,N
12-01-2015,131261.125,1817.835009,131261.125,33.69481017,0,0,0,16.1,31.3,31.6,0,N,N
13-01-2015,126527.36,1485.667777,126527.36,27.53786427,0,0,0,20.2,25.6,4.2,0,N,N
14-01-2015,119741.62,1565.548971,119741.62,29.01851661,0,0,0,18.3,22.7,15.2,15.8,N,N
15-01-2015,118411.22,1669.026268,118411.22,30.93653879,0,0,0,15.8,20,14.6,0,N,N
16-01-2015,116690.765,1241.669548,116690.765,23.01519088,0,0,0,13.1,27.3,30.3,0,N,N
17-01-2015,99371.31,1024.776327,99371.31,18.99492729,0,0,0,15.9,25,27.5,0,N,N
18-01-2015,97728.75,917.6183336,95473.965,20.91179041,2254.785,-148.26,0.020833334,15.3,19.5,23.4,0,N,N
19-01-2015,116883.15,1452.758921,116883.15,26.92787619,0,0,0,13.5,23.6,29,0,N,N
20-01-2015,128968.125,1245.0621,128968.125,23.07807414,0,0,0,13,30.4,19.6,0,N,N
21-01-2015,148702.505,1858.222264,148702.505,34.44341546,0,0,0,19.7,33.1,25.8,0,N,N
22-01-2015,153232.1,1900.699578,153232.1,35.2307614,0,0,0,18.7,35.8,23.1,0,N,N
23-01-2015,138095.2,2190.596602,138095.2,40.60420022,0,0,0,20.2,25,28.6,0,N,N
24-01-2015,116310.59,1128.741908,116310.59,20.92200015,0,0,0,15.8,26.3,30.3,0,N,N
25-01-2015,97959.46,892.4094851,97959.46,16.5414177,0,0,0,14.7,22,25.4,0,N,N
26-01-2015,103769.48,913.6978907,103769.48,16.9360128,0,0,0,11.6,19.8,19.9,1,N,Y
27-01-2015,118393.31,1144.07927,118393.31,21.2062886,0,0,0,11.7,19.1,17.7,0.6,N,N
28-01-2015,116763.725,918.4360729,116763.725,17.02383824,0,0,0,13.3,25.4,27,0,N,N
29-01-2015,119313.73,1058.759436,119313.73,19.62482736,0,0,0,12.8,22.2,28.9,0,Y,N
30-01-2015,121018.15,1134.533761,121018.15,21.02935608,0,0,0,13.1,21,27.6,0,Y,N
31-01-2015,103822.97,892.270781,103822.97,16.53884673,0,0,0,14.3,20.2,26.2,0,Y,N
01-02-2015,100178.84,786.5286567,100178.84,14.57884442,0,0,0,13.2,19,17.3,9.2,Y,N
02-02-2015,118694.16,1201.468237,118694.16,22.27003219,0,0,0,13.5,21.1,23.9,3.8,Y,N
03-02-2015,122880.13,1456.856754,122880.13,27.00383233,0,0,0,16.1,20,22.7,0,Y,N
04-02-2015,117398.03,1500.30279,117398.03,27.8091342,0,0,0,14.8,19,21.2,0,Y,N
05-02-2015,122279.425,1693.197591,122279.425,31.38457074,0,0,0,13.3,24.2,28.8,0,Y,N
06-02-2015,141837.005,2095.427726,141837.005,38.84018027,0,0,0,14.5,35.7,28.4,0,Y,N
07-02-2015,132138.365,1551.694081,132138.365,28.76170678,0,0,0,18.8,35,16.1,0,Y,N
08-02-2015,112108.215,1293.403051,112108.215,23.9741066,0,0,0,18.9,21.5,16.6,0,Y,N
09-02-2015,126813.075,1559.647817,126813.075,28.90913471,0,0,0,13.6,28.3,28.6,0,Y,N
10-02-2015,145948.565,2024.344269,145948.565,37.52259998,0,0,0,16.4,27.8,27.7,0,Y,N
11-02-2015,149322.85,1761.761759,149322.85,32.6554543,0,0,0,18.1,26.8,24.1,0,Y,N
12-02-2015,131376.78,1433.809455,131376.78,26.57663494,0,0,0,17.8,21.9,23.8,0,Y,N
13-02-2015,136070.62,1010.859564,133078.54,26.32285732,2992.08,-318.66,0.020833334,16.1,32.4,14.9,0,Y,N
14-02-2015,119692.025,1091.953569,119692.025,20.24010323,0,0,0,19,25.1,20.8,19.6,Y,N
15-02-2015,125287.71,1326.316885,125287.71,24.58418694,0,0,0,18.2,34.4,25.7,0.4,Y,N
16-02-2015,131832.63,1723.65074,131832.63,31.9490406,0,0,0,17.4,24.6,26.3,0,Y,N
17-02-2015,127666.01,1631.995559,127666.01,30.25014939,0,0,0,17.6,20.6,8.3,0,Y,N
18-02-2015,125972.765,1631.221019,125972.765,30.23579275,0,0,0,17.7,21.2,7.8,0,Y,N
19-02-2015,139399.69,1812.663929,139399.69,33.59896068,0,0,0,18.2,26.9,24.7,0,Y,N
20-02-2015,139465.675,1809.411329,139465.675,33.53867153,0,0,0,17.4,25.3,24.7,0,Y,N
21-02-2015,136283.03,1686.08963,136283.03,31.25281984,0,0,0,18.1,36.1,20,0,Y,N
22-02-2015,138016.35,1748.504783,138016.35,32.40972721,0,0,0,20.3,35.3,11.7,1.6,Y,N
23-02-2015,135255.815,1533.109511,132597.755,32.03187565,2658.06,-151.9,0.020833334,21.1,29.3,4.7,0,Y,N
24-02-2015,120263.515,1432.858692,120263.515,26.5590119,0,0,0,15.9,20.1,21.4,3.2,Y,N
25-02-2015,130062.755,1797.789315,130062.755,33.32324959,0,0,0,14,27,24.1,0,Y,N
26-02-2015,131525.855,2108.720902,131525.855,39.08657834,0,0,0,16,23.2,18.5,0,Y,N
27-02-2015,131069.4,1960.489673,131069.4,36.33901155,0,0,0,14.8,24.3,21.7,0,Y,N
28-02-2015,116275.73,1356.471903,116275.73,25.14313073,0,0,0,17.9,32.3,6.9,0,Y,N
01-03-2015,103462.78,1326.422692,103462.78,24.58614815,0,0,0,15.2,20.8,23.3,15.8,Y,N
02-03-2015,123301.835,1789.33409,123301.835,33.16652623,0,0,0,11.6,23,22,0,Y,N
03-03-2015,126750.29,2359.743713,126750.29,43.73945714,0,0,0,15.5,22.7,21.2,0,Y,N
04-03-2015,120764.185,2009.771507,120764.185,37.25248391,0,0,0,15.4,23.5,23,0,Y,N
05-03-2015,114967.345,1366.166576,114967.345,25.3228281,0,0,0,12.6,18.6,22.5,0.8,Y,N
06-03-2015,117053.75,1497.140645,117053.75,27.75052169,0,0,0,14.1,21.1,10.8,0.2,Y,N
07-03-2015,108344.575,1193.007924,108344.575,22.11321454,0,0,0,15.4,22.6,10.8,0.2,Y,N
08-03-2015,106348.78,1109.990721,106348.78,20.57443413,0,0,0,16.2,24.4,20.4,0,Y,N
09-03-2015,108282.48,1284.445283,108282.48,23.80806827,0,0,0,14.4,23.8,18.6,0,Y,Y
10-03-2015,125828.53,1713.654268,125828.53,31.76374918,0,0,0,16.2,21.7,22.1,0,Y,N
11-03-2015,124418.415,1812.530791,124418.415,33.59649288,0,0,0,11.2,23.8,22.3,0,Y,N
12-03-2015,121683.65,1404.885293,121683.65,26.04050589,0,0,0,13,19.9,18.7,0,Y,N
13-03-2015,120929.815,1305.339846,120929.815,24.19536323,0,0,0,14.4,20.4,21.2,0,Y,N
14-03-2015,108738.82,938.4348698,108738.82,17.39452956,0,0,0,9.4,30.1,20,0,Y,N
15-03-2015,100170.295,775.4287127,100170.295,14.3730994,0,0,0,13.1,18.3,17.5,2.2,Y,N
16-03-2015,123787.075,1222.550156,123787.075,22.66079993,0,0,0,10.5,25.5,14.5,0,Y,N
17-03-2015,125600.86,1153.751473,125600.86,21.38556947,0,0,0,13,26.2,4.8,0,Y,N
18-03-2015,127975.815,1318.464505,127975.815,24.43863773,0,0,0,17.8,24.4,9.4,1.4,Y,N
19-03-2015,128319.45,1325.456601,128319.45,24.56824098,0,0,0,16.5,33.5,15.1,0,Y,N
20-03-2015,119491.32,1298.477386,119491.32,24.06816285,0,0,0,14.2,19.6,19.9,0,Y,N
21-03-2015,106754.8,1104.556903,106754.8,20.47371461,0,0,0,11.9,22.7,20.8,0,Y,N
22-03-2015,106555.03,1020.663627,106555.03,18.91869559,0,0,0,11.3,28.8,19.9,0,Y,N
23-03-2015,122810.05,1439.689629,122810.05,26.68562798,0,0,0,13.6,27,3.9,0,Y,N
24-03-2015,123234.935,1837.456046,123234.935,34.05849946,0,0,0,12.6,15.3,3.8,1.4,Y,N
25-03-2015,122268.86,1540.205291,122268.86,28.54875424,0,0,0,13,20.4,13.8,0.4,Y,N
26-03-2015,121998.2,1185.355028,121998.2,21.9713629,0,0,0,9.8,18,9.9,0.4,Y,N
27-03-2015,122346.335,1390.37784,122346.335,25.77160038,0,0,0,11.6,18.1,11.2,0.2,N,N
28-03-2015,112187.715,1579.190341,112187.715,29.27136869,0,0,0,12.7,19.1,14.4,0,N,N
29-03-2015,106418.665,1331.093047,106418.665,24.67271635,0,0,0,8.5,22.7,18.6,0,N,N
30-03-2015,123061.87,1820.832068,123061.87,33.7503627,0,0,0,10.6,23.1,18.1,0,N,N
31-03-2015,125795.325,1717.582929,125795.325,31.83656958,0,0,0,11.2,25.3,18.1,0,N,N
01-04-2015,122042.265,1411.753126,122042.265,26.16780586,0,0,0,13.3,29,10.7,0,N,N
02-04-2015,113838.41,1265.680519,113838.41,23.46025058,0,0,0,12.8,17.2,17.5,0.2,N,N
03-04-2015,98891.06,1129.67947,98891.06,20.9393785,0,0,0,8,20.9,17.4,0,N,Y
04-04-2015,103999.17,1250.99563,103999.17,23.18805617,0,0,0,8.5,23.5,16.2,0,N,Y
05-04-2015,103685.45,1106.441688,103685.45,20.50865038,0,0,0,10.2,18.5,9.8,0,N,N
06-04-2015,107383.37,919.7694151,107383.37,17.04855264,0,0,0,11.2,18.4,13,0,N,Y
07-04-2015,120235.505,1152.342866,118471.68,21.69413772,1763.825,-1.12,0.020833334,12.4,17.3,3.9,0,N,N
08-04-2015,122129.775,1359.972491,122129.775,25.20801652,0,0,0,13.3,17.7,12.6,5.6,N,N
09-04-2015,123990.76,1359.96083,123990.76,25.20780037,0,0,0,8.7,19.1,10.9,0,N,N
10-04-2015,121753.115,1385.280127,121753.115,25.6771108,0,0,0,8.6,18.7,15.9,0,N,N
11-04-2015,110034.165,1243.866469,110034.165,23.05591231,0,0,0,11.6,23.7,14.9,0,N,N
12-04-2015,103760.225,1189.761356,103760.225,22.05303719,0,0,0,12.1,18.3,13.4,0,N,N
13-04-2015,125107.78,1586.577196,125107.78,29.40828908,0,0,0,7.3,19.1,14.9,0,N,N
14-04-2015,127793.38,1672.189725,127793.38,30.99517563,0,0,0,10.5,24.7,8.4,1.6,Y,N
15-04-2015,126673.935,1677.33563,126673.935,31.09055848,0,0,0,13.9,27.6,12.8,2.4,Y,N
16-04-2015,126937.94,2194.767402,126937.94,40.68150885,0,0,0,15.6,17.8,10.9,0,Y,N
17-04-2015,131031.415,1833.625885,131031.415,33.98750482,0,0,0,10.1,17.1,7.5,0,Y,N
18-04-2015,109763.985,1410.259957,109763.985,26.14012894,0,0,0,13.5,21.9,9.9,3.6,Y,N
19-04-2015,107160.54,1323.970465,107160.54,24.54069444,0,0,0,9.7,14.7,11,6.4,Y,N
20-04-2015,126696.19,1816.883636,126696.19,33.67717583,0,0,0,7,16.2,12.7,1.4,Y,N
21-04-2015,127973.585,1644.026815,127973.585,30.4731569,0,0,0,6.5,17.7,13.8,0,Y,N
22-04-2015,128598.495,1979.710548,128598.495,36.69528357,0,0,0,9.1,19.5,7.1,0,Y,N
