date,demand,rrp,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,year,month,day,weekday,month_sin,month_cos
2015-01-01,99635.03,1382.937923,97319.24,26.41595262,2315.79,-7.24,0.020833334,13.3,26.9,23.6,0.0,0,1,2015,1,1,3,0.49999999999999994,0.8660254037844387
2015-01-04,104330.715,1349.049975,104330.715,25.00556024,0.0,0.0,0.0,16.3,21.4,25.2,4.2,0,0,2015,1,4,6,0.49999999999999994,0.8660254037844387
2015-01-05,118132.2,1441.76931,118132.2,26.72417628,0.0,0.0,0.0,15.0,22.0,30.7,0.0,0,0,2015,1,5,0,0.49999999999999994,0.8660254037844387
2015-01-06,130672.485,1687.680664,130672.485,31.28231073,0.0,0.0,0.0,17.7,26.0,31.6,0.0,0,0,2015,1,6,1,0.49999999999999994,0.8660254037844387
2015-01-08,142015.655,2649.877272,142015.655,49.1172803,0.0,0.0,0.0,23.1,28.2,13.5,19.4,0,0,2015,1,8,3,0.49999999999999994,0.8660254037844387
2015-01-09,121801.155,1860.771941,121801.155,34.49067545,0.0,0.0,0.0,16.5,18.0,3.1,1.2,0,0,2015,1,9,4,0.49999999999999994,0.8660254037844387
2015-01-10,103043.66,1091.399053,103043.66,20.2298249,0.0,0.0,0.0,13.6,21.7,5.6,5.2,0,0,2015,1,10,5,0.49999999999999994,0.8660254037844387
2015-01-11,99865.755,983.7657369,99865.755,18.23476806,0.0,0.0,0.0,15.6,27.5,29.9,0.0,0,0,2015,1,11,6,0.49999999999999994,0.8660254037844387
2015-01-12,131261.125,1817.835009,131261.125,33.69481017,0.0,0.0,0.0,16.1,31.3,31.6,0.0,0,0,2015,1,12,0,0.49999999999999994,0.8660254037844387
2015-01-13,126527.36,1485.667777,126527.36,27.53786427,0.0,0.0,0.0,20.2,25.6,4.2,0.0,0,0,2015,1,13,1,0.49999999999999994,0.8660254037844387
2015-01-14,119741.62,1565.548971,119741.62,29.01851661,0.0,0.0,0.0,18.3,22.7,15.2,15.8,0,0,2015,1,14,2,0.49999999999999994,0.8660254037844387
2015-01-15,118411.22,1669.026268,118411.22,30.93653879,0.0,0.0,0.0,15.8,20.0,14.6,0.0,0,0,2015,1,15,3,0.49999999999999994,0.8660254037844387
2015-01-16,116690.765,1241.669548,116690.765,23.01519088,0.0,0.0,0.0,13.1,27.3,30.3,0.0,0,0,2015,1,16,4,0.49999999999999994,0.8660254037844387
2015-01-17,99371.31,1024.776327,99371.31,18.99492729,0.0,0.0,0.0,15.9,25.0,27.5,0.0,0,0,2015,1,17,5,0.49999999999999994,0.8660254037844387
2015-01-18,97728.75,917.6183336,95473.965,20.91179041,2254.785,-148.26,0.020833334,15.3,19.5,23.4,0.0,0,0,2015,1,18,6,0.49999999999999994,0.8660254037844387
