date,demand,RRP,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,Hour,DayOfWeek,Month,Year,demand_Lag_1,demand_Lag_7,Z_Score
2015-01-01,99635.03,25.63369643387471,97319.24000000002,26.41595261944092,2315.79,-7.239999999999997,0.020833334,13.3,26.9,23.6,0.0,N,Y,0,3,1,2015,,,1.484237772675756
2015-01-02,129606.00999999994,33.13898756122499,121082.01499999994,38.83766097797432,8523.994999999999,-47.80977650151132,0.0625,15.4,38.8,26.8,0.0,N,N,0,4,1,2015,99635.03,,0.6963057067964776
2015-01-03,142300.53999999998,34.56485482908218,142300.53999999998,34.56485482908218,0.0,0.0,0.0,20.0,38.2,26.5,0.0,N,N,0,5,1,2015,129606.00999999994,,1.6198982825635966
2015-01-04,104330.715,25.00556023842067,104330.715,25.00556023842067,0.0,0.0,0.0,16.3,21.4,25.2,4.2,N,N,0,6,1,2015,142300.53999999998,,1.1426024538304733
2015-01-05,118132.19999999994,26.72417627793271,118132.19999999994,26.72417627793271,0.0,0.0,0.0,15.0,22.0,30.7,0.0,N,N,0,0,1,2015,104330.715,,0.1384731886618409
2015-01-06,130672.48499999994,31.282310728612853,130672.48499999994,31.282310728612853,0.0,0.0,0.0,17.7,26.0,31.6,0.0,N,N,0,1,1,2015,118132.19999999994,,0.7738972672749861
2015-01-07,153514.82,48.31230937899024,149498.715,49.6397122450183,4016.105,-1.1,0.020833334,18.9,37.4,20.7,0.0,N,N,0,2,1,2015,130672.48499999994,,2.4357950310508327
2015-01-08,142015.65500000006,49.11728029878114,142015.65500000006,49.11728029878114,0.0,0.0,0.0,23.1,28.2,13.5,19.4,N,N,0,3,1,2015,153514.82,99635.03,1.599171428481772
2015-01-09,121801.15499999998,34.490675454596484,121801.15499999998,34.490675454596484,0.0,0.0,0.0,16.5,18.0,3.1,1.2,N,N,0,4,1,2015,142015.65500000006,129606.00999999994,0.12846222358451087
2015-01-10,103043.66000000005,20.229824895097856,103043.66000000005,20.229824895097856,0.0,0.0,0.0,13.6,21.7,5.6,5.2,N,N,0,5,1,2015,121801.15499999998,142300.53999999998,1.236242347753596
2015-01-11,99865.755,18.23476806038267,99865.755,18.23476806038267,0.0,0.0,0.0,15.6,27.5,29.9,0.0,N,N,0,6,1,2015,103043.66000000005,104330.715,1.4674513381213556
2015-01-12,131261.12500000006,33.69481017437569,131261.12500000006,33.69481017437569,0.0,0.0,0.0,16.1,31.3,31.6,0.0,N,N,0,0,1,2015,99865.755,118132.19999999994,0.8167238653293971
2015-01-13,126527.35999999994,27.537864268645148,126527.35999999994,27.537864268645148,0.0,0.0,0.0,20.2,25.6,4.2,0.0,N,N,0,1,1,2015,131261.12500000006,130672.48499999994,0.4723180299478329
2015-01-14,119741.62,29.018516605170355,119741.62,29.018516605170355,0.0,0.0,0.0,18.3,22.7,15.2,15.8,N,N,0,2,1,2015,126527.35999999994,153514.82,0.021379577217292473
2015-01-15,118411.21999999994,30.936538792523216,118411.21999999994,30.936538792523216,0.0,0.0,0.0,15.8,20.0,14.6,0.0,N,N,0,3,1,2015,119741.62,142015.65500000006,0.11817304360010611
2015-01-16,116690.76499999994,23.01519087693016,116690.76499999994,23.01519087693016,0.0,0.0,0.0,13.1,27.3,30.3,0.0,N,N,0,4,1,2015,118411.21999999994,121801.15499999998,0.24334502436201025
2015-01-17,99371.31,18.99492729239456,99371.31,18.99492729239456,0.0,0.0,0.0,15.9,25.0,27.5,0.0,N,N,0,5,1,2015,116690.76499999994,103043.66000000005,1.5034247637720237
2015-01-18,97728.75,17.008680881521563,95473.965,20.9117904111346,2254.785,-148.26,0.020833334,15.3,19.5,23.4,0.0,N,N,0,6,1,2015,99371.31,99865.755,1.6229294812568011
2015-01-19,116883.14999999998,26.927876193873967,116883.14999999998,26.927876193873967,0.0,0.0,0.0,13.5,23.6,29.0,0.0,N,N,0,0,1,2015,97728.75,131261.12500000006,0.2293480226857771
2015-01-20,128968.125,23.07807413769876,128968.125,23.07807413769876,0.0,0.0,0.0,13.0,30.4,19.6,0.0,N,N,0,1,1,2015,116883.14999999998,126527.35999999994,0.6498962808316606
2015-01-21,148702.505,34.44341545994803,148702.505,34.44341545994803,0.0,0.0,0.0,19.7,33.1,25.8,0.0,N,N,0,2,1,2015,128968.125,119741.62,2.0856742777616026
2015-01-22,153232.1,35.230761404105266,153232.1,35.230761404105266,0.0,0.0,0.0,18.7,35.8,23.1,0.0,N,N,0,3,1,2015,148702.505,118411.21999999994,2.415225691892874
2015-01-23,138095.19999999998,40.60420021586557,138095.19999999998,40.60420021586557,0.0,0.0,0.0,20.2,25.0,28.6,0.0,N,N,0,4,1,2015,153232.1,116690.76499999994,1.313938093208301
2015-01-24,116310.58999999998,20.922000145472573,116310.58999999998,20.922000145472573,0.0,0.0,0.0,15.8,26.3,30.3,0.0,N,N,0,5,1,2015,138095.19999999998,99371.31,0.27100471774902224
2015-01-25,97959.46000000004,16.541417703813387,97959.46000000004,16.541417703813387,0.0,0.0,0.0,14.7,22.0,25.4,0.0,N,N,0,6,1,2015,116310.58999999998,97728.75,1.6061441380298158
2015-01-26,103769.48000000004,16.936012803090073,103769.48000000004,16.936012803090073,0.0,0.0,0.0,11.6,19.8,19.9,1.0,N,Y,0,0,1,2015,97959.46000000004,116883.14999999998,1.1834351966937866
2015-01-27,118393.31,21.20628859561405,118393.31,21.20628859561405,0.0,0.0,0.0,11.7,19.1,17.7,0.6,N,N,0,1,1,2015,103769.48000000004,128968.125,0.11947608853614852
2015-01-28,116763.72499999998,17.02383823700383,116763.72499999998,17.02383823700383,0.0,0.0,0.0,13.3,25.4,27.0,0.0,N,N,0,2,1,2015,118393.31,148702.505,0.23803680780511513
